Produit_PK,Produit_ID,EntiteRattachement_FID,BrancheAssurance_FID,Produit_CODE,LibelleCourt_NOM,LibelleLong_NOM,FamilleProduit_NOM,StatutProduit_NOM,TypeOffre_NOM,TNS_FLAG,LoiEvin_FLAG,Produit_DATECRE,Produit_DATEMOD,Produit_DEBUTVAL,Produit_FINVAL
48,aRKfV0000RQ9r,qjmjF0000RH07,d,PC_GAP,GAP,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
51,-1,-1,-1,N_REN,Non renseigné,Non renseigné,Non renseigné,Non renseigné,Non renseigné,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
61,aRKfV0000RIyp,qjmjF0000RH07,e,SI_OUAUD_01,OUEST AUTO DISTRI EVIN,OUEST AUTO DISTRI EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
64,aRKfV0000RHmV,qjmjF0000RH07,e,SI_RPCS_02,RPCS INDI EVIN,RPCS INDIVIDUEL EVIN,individuel,clôturé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
65,aRKfV0000RJUx,qjmjF0000RH07,d,PC_ALVARE_2,ALVAREZ 2 - AQUITAINE TRUCKS,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
66,aRKfV0000RKEv,qjmjF0000RH07,e,SC_BLANCFR1,BLANC FRERES 1 COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
67,aRKfV0000RL9i,qjmjF0000RH07,d,PC_SOFIDA_2,SOFIDA 2 FINANCIERE DUBOIS,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
69,aRKfV0000RKxR,qjmjF0000RH07,e,SC_STCHRIST,ST CHRISTOPHE COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
70,aRKfV0000RIwl,qjmjF0000RH07,d,PC_BESSON,BESSON,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
79,aRKfV0000RJP2,qjmjF0000RH07,d,PC_RENT_C,RENT A CAR,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
80,aRKfV0000RJOq,qjmjF0000RH07,d,PC_COMO,COMO,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
93,aRKfV0000RJPA,qjmjF0000RH07,d,PC_MANUEL,MANUEL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
99,aRKfV0000RMFz,qjmjF0000RH9n,e,SI_SOUMA_01,SOUMAGNE EVIN,SOUMAGNE EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
100,aRKfV0000RKNd,qjmjF0000RH07,d,PC_ARGEDIS,"ARGEDIS ",Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
101,aRKfV0000RLTh,qjmjF0000RH07,d,PC_ROUX_2,ROUX00093,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
107,aRKfV0000RIyv,qjmjF0000RH07,e,SI_SAEM_01,SAEMES EVIN,SAEMES EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
108,aRKfV0000RHDB,qjmjF0000RH07,d,PC_PMODEL1,PRODUIT MODELE PREV  COLL 1,PRODUIT MODELE PREVOYANCE COLL 1,collectif,validé,STANDARD,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
121,aRKfV0000RL9r,qjmjF0000RH07,d,PC_MICHEL_2,"MICHEL 2 - C A D ",Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
124,aRKfV0000RKFQ,qjmjF0000RH07,e,SC_TAQUIPNE,TAQUIPNEU COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
125,aRKfV0000RJy0,qjmjF0000RH07,d,PC_ALANCEY,AUTOSERVICES LANCEY,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
126,aRKfV0000RLA2,qjmjF0000RH07,e,SI_LEROU_01,LEROUIC EVIN,LEROUIC EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
127,aRKfV0000RNby,qjmjF0000RH9n,e,SI_BESSA_01,AUTO BILAN BESSAC EVIN,AUTO BILAN BESSAC EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
129,aRKfV0000RLUX,qjmjF0000RH07,d,PC_CAR_AV_6,CAR AVENUE 6 OBLINGER LORRAINE,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
130,aRKfV0000RL9O,qjmjF0000RH07,d,PC_GGSAUT_2,GGS AUTO 2 - SOGIR,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
139,aRKfV0000RKUj,qjmjF0000RH07,d,PC_FRANCO_2,FRANCOIS 2,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
140,aRKfV0000RJRu,qjmjF0000RH07,d,PC_IVECOEST,IVECO EST,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
153,aRKfV0000RKz3,qjmjF0000RH07,d,PC_CLEAL,CLEAL,Contrat particulier,collectif,clôturé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
159,aRKfV0000RKT7,qjmjF0000RH07,d,PC_GUILLOU,GUILLOU,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
160,aRKfV0000RKTR,qjmjF0000RH07,d,PC_DUCRRE48,DUCREUXRELAIS48,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
161,aRKfV0000RIPO,qjmjF0000RH07,d,PC_TAQUIPNE,TAQUIPNEU,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
167,aRKfV0000RKAt,qjmjF0000RHD1,d,PC_IENA_01,IENA PREVOYANCE COLL,IENA PREVOYANCE COLLECTIF,collectif,validé,STANDARD,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
168,aRKfV0000RIVn,qjmjF0000RH07,d,PC_FREY_1,EMIL FREY 1 SCHULLER,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
181,aRKfV0000RLdL,qjmjF0000RH07,e,SI_SYNE2_01,SYNETHIS 2 EVIN,SYNETHIS 2 EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
184,aRKfV0000RKNJ,qjmjF0000RH07,d,PC_CAROFF,CAROFF AUTO,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
185,aRKfV0000RLAS,qjmjF0000RH07,e,SC_NOYALPL,NOYAL POIDS LOURDS COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
186,aRKfV0000RM9X,qjmjF0000RH9n,e,SI_IPPO2_01,IPPOLITO 2 EVIN,IPPOLITO 2 EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
187,aRKfV0000ROrX,qjmjF0000RH07,e,SC_DEWILLER,DE WILLERMIN COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
189,aRKfV0000RKzX,qjmjF0000RH07,d,PC_FAURIE_2,FAURIE 2 CAHORS,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
190,aRKfV0000RIVi,qjmjF0000RH07,d,PC_BERNAR_2,Bernard 2 Mensu,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
199,aRKfV0000RLAU,qjmjF0000RH07,e,SC_ROGEONPN,ROGEON PNEUS COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
200,aRKfV0000RJhr,qjmjF0000RH07,e,SC_BODEMER,BODEMER COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
213,aRKfV0000RJPC,qjmjF0000RH07,d,PC_DMD,DMD,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
220,aRKfV0000RNvM,qjmjF0000RH07,e,SI_SXMOB_01,SIXT MOBILITY EVIN,SIXT MOBILITY EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
221,aRKfV0000RIsJ,qjmjF0000RH9n,e,SI_AURIL_01,AURILIS EVIN,AURILIS EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
227,aRKfV0000RKEH,qjmjF0000RH07,e,SC_COPADEX,COPADEX COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
228,aRKfV0000RKVD,qjmjF0000RH07,d,PC_LAFAY_1,MEIGNAN LAFAY 1,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
241,aRKfV0000RLqI,qjmjF0000RH07,d,PC_BPM_2,BPM GROUP 2 GROUPE,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
244,aRKfV0000RKRV,qjmjF0000RH07,e,SC_VULCAIN3,VULCAIN 3 COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
245,aRKfV0000RLjf,qjmjF0000RHD1,d,PC_TECHALPH,TECHALPHA,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
246,aRKfV0000ROrh,qjmjF0000RH07,e,SC_DGERBIER,DAVID GERBIER COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
247,aRKfV0000RH3L,qjmjF0000RH07,d,PI_PMODEL1,PRODUIT MODELE PREV IND 1,PRODUIT MODELE PREVOYANCE IND 1,individuel,validé,STANDARD,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
249,aRKfV0000RLU1,qjmjF0000RH07,d,PC_BERNAR_4,BERNARD 4 GROUPE,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
250,aRKfV0000RKXd,qjmjF0000RH07,d,PC_DYNEFF,DYNEFF,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
259,aRKfV0000RLAh,qjmjF0000RH07,e,SC_FOREZBEN,FOREZ BENNES COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
260,aRKfV0000RM36,qjmjF0000RH07,e,SI_ROUEN_01,ROUEN PARK EVIN,ROUEN PARK EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
280,aRKfV0000RPNd,qjmjF0000RH07,e,SC_PRIOD,PRIOD EX EFF COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
281,aRKfV0000RLJt,qjmjF0000RH07,e,SC_BERNIER2,"BERNIER 2 COLL ",Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
287,aRKfV0000RKTl,qjmjF0000RH07,d,PC_JPCEVOLU,"JPC EVOLUTION ",Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
288,aRKfV0000RKxb,qjmjF0000RH07,d,PC_TUPPIN_1,TUPPIN MARY 1 AMIENS,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
301,aRKfV0000RNiF,qjmjF0000RH9n,e,SI_MACCH_01,MACCHI EVIN,MACCHI EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
304,aRKfV0000RL7H,qjmjF0000RH07,e,SC_ECFARVOR,ECF ARVOR COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
305,aRKfV0000RJoz,qjmjF0000RH07,e,SC_BERREZA1,BERREZAI 1 COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
306,aRKfV0000RIpV,qjmjF0000RH07,e,SI_ORECA_01,ORECA EVIN,ORECA EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
307,aRKfV0000RJxz,qjmjF0000RH07,d,PC_GOOSSENS,GARAGE THOMAS GOOSSENS,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
309,aRKfV0000RO1v,qjmjF0000RH07,d,PC_EDENAU_6,EDEN AUTO 6 CASSAGNAU,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
310,aRKfV0000RMG1,qjmjF0000RH07,e,SI_VAUCL_01,VAUCLUSIENNE EVIN,VAUCLUSIENNE EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
319,aRKfV0000RLZz,qjmjF0000RH07,d,PC_SAVARIEA,SAVARIEAU,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
320,aRKfV0000ROxf,qjmjF0000RH07,e,SC_LECLAUT1,LECLERC AUTO COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
340,aRKfV0000RJy1,qjmjF0000RH07,d,PC_PROKOP,LEROY PROKOP DISTRIBUTION,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
341,aRKfV0000ROuI,qjmjF0000RH07,e,SC_SIXT,SIXT COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
347,aRKfV0000RPTv,qjmjF0000RH07,d,PC_COQUID_3,COQUIDE 3,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
348,aRKfV0000RMcV,qjmjF0000RHD1,d,PC_BPM_6,BPM 6 GVLT,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
361,aRKfV0000RIPE,qjmjF0000RH07,d,PC_GGSAUT_3,GGS AUTO 3 - GGG,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
364,aRKfV0000RLA4,qjmjF0000RH07,e,SI_NOYAL_01,NOYAL POIDS LOURDS EVIN,NOYAL POIDS LOURDS EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
365,aRKfV0000RK65,qjmjF0000RH07,e,SC_PARKLANN,PARK LANN COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
366,aRKfV0000RLa9,qjmjF0000RH07,d,PC_PALFINGE,VINCENT PALFINGER,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
367,aRKfV0000RKyZ,qjmjF0000RH07,d,PC_CITROEN,CITROEN,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
369,aRKfV0000RL0p,qjmjF0000RH07,d,PC_SPEEDYAT,SPEEDY ATELIERS,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
370,aRKfV0000RMcY,qjmjF0000RHD1,d,PC_GRUAU_1,GRUAU,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
379,aRKfV0000RM9T,qjmjF0000RH07,e,SI_BACAU_01,BACQUEYRISSES AUTO EVIN,BACQUEYRISSES AUTO EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
380,aRKfV0000RPOK,qjmjF0000RH07,e,SI_PRIOD_01,PRIOD EX EFF EVIN,PRIOD EX EFF EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
400,aRKfV0000RJyT,qjmjF0000RH07,d,PC_SDVI,SDVI,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
401,aRKfV0000RIyo,qjmjF0000RH07,e,SI_NEDEL_01,NEDELEC EVIN,NEDELEC EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
407,aRKfV0000RIq9,qjmjF0000RH07,e,SI_ARAM_01,ARAMIS EVIN,ARAMIS EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
408,aRKfV0000RK4d,qjmjF0000RH07,e,SC_AERTEC,AERTEC COLL,Contrat particulier,collectif,clôturé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
421,aRKfV0000RJs2,qjmjF0000RH07,d,PC_FILCAR,FILCAR,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
424,aRKfV0000RM38,qjmjF0000RH07,e,SI_WARSE_01,WARSEMANN EVIN,WARSEMANN EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
425,aRKfV0000RK89,qjmjF0000RH07,d,PC_PRINGYPL,PRINGY PL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
426,aRKfV0000RN8m,qjmjF0000RH07,d,PC_EDENAU_2,EDEN AUTO 2 CARLIANCE,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
427,aRKfV0000ROkl,qjmjF0000RH07,d,PC_SEGUINAD,SEGUIN ADM,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
429,aRKfV0000RM9b,qjmjF0000RH9n,e,SI_RENT2_01,RENT A CAR 2 EVIN,RENT A CAR 2 EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
430,aRKfV0000RIsX,qjmjF0000RH07,e,SI_DAVG_01,DAVID GERBIER EVIN,DAVID GERBIER EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
439,aRKfV0000RMT9,qjmjF0000RHD1,d,PC_BERNINV,BERNIS INVESTISSEMENT,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
440,aRKfV0000RIpf,qjmjF0000RH07,e,SI_RIO_01,RIO EVIN,RIO EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
460,aRKfV0000RKkN,qjmjF0000RH07,d,PC_SIPA_1,SIPA 1 GP SIPA,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
461,aRKfV0000RJoK,qjmjF0000RH07,d,PC_SIXT,SIXT,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
467,aRKfV0000RJI4,qjmjF0000RH07,e,SC_ETROUG,ETOILE ROUGE COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
468,aRKfV0000RK5u,qjmjF0000RH07,d,PC_RICHARD,RICHARD,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
481,aRKfV0000RL0B,qjmjF0000RH07,d,PC_CAR_AV_2,CAR AVENUE 2 GROUPE,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
484,aRKfV0000RHmp,qjmjF0000RH9n,e,SI_AUTOS_01,AUTO SANTE PRO INDI,AUTO SANTE PRO INDIVIDUEL,individuel,validé,STANDARD,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
485,aRKfV0000RKKZ,qjmjF0000RH07,e,SC_FABRERUD,FABRE ET RUDELLE COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
486,aRKfV0000RO8D,qjmjF0000RH07,d,PC_DBFAUTO,DBF AUTO,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
487,aRKfV0000RI5r,qjmjF0000RH9n,e,SI_ANCGI_01,ANCIENNES GAMMES INDI,ANCIENNES GAMMES INDIVIDUELLES,individuel,validé,STANDARD,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
489,aRKfV0000RQAL,qjmjF0000RH07,e,SI_BODE2_01,BODEMER 2 EX RRG EVIN,BODEMER 2 EX RRG EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
490,aRKfV0000RMSr,qjmjF0000RHD1,d,PC_MAZDA,MAZDA,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
499,aRKfV0000RNiG,qjmjF0000RH07,e,SI_MAUR2_01,MAURIN 2 EVIN,MAURIN 2 EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
500,aRKfV0000RIsa,qjmjF0000RH07,e,SI_ETAR_01,ETOILE ARMOR EVIN,ETOILE ARMOR EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
520,aRKfV0000RLA5,qjmjF0000RH9n,e,SI_OPCO_01,OPCO MOBILITES EVIN,OPCO MOBILITES EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
521,aRKfV0000RMJA,qjmjF0000RH07,e,SI_LABEL_01,LABEL EVIN,LABEL EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
527,aRKfV0000RK5G,qjmjF0000RH07,e,SC_KERTRUCK,KERTRUCKS COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
528,aRKfV0000RLqR,qjmjF0000RH07,d,PC_BPM_3,BPM GROUP 3 SAMI AQUITAINE,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
